randNumCol,Total Score,Max Points,Status,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: Q1 (9.0 pts),2: Q2 (2.0 pts),3: Q3 (4.0 pts)
801925577,4.0,15.0,Graded,2022-12-10 22:58:06 -0600,190:59:06,3.0,1.0,0.0,0.0,4.0
853470508,15.0,15.0,Graded,2022-12-02 21:31:27 -0600,00:00:00,0.0,1.0,9.0,2.0,4.0
468287725,4.0,15.0,Graded,2022-12-02 23:56:30 -0600,00:00:00,0.0,1.0,2.0,0.0,2.0
880377892,7.5,15.0,Graded,2022-12-02 21:13:20 -0600,00:00:00,1.0,1.0,3.5,2.0,2.0
631918976,0.0,15.0,Graded,2022-12-02 23:50:55 -0600,00:00:00,2.0,1.0,0.0,0.0,0.0
683714891,4.5,15.0,Graded,2022-12-02 21:55:31 -0600,00:00:00,3.0,1.0,0.5,0.0,4.0
450938085,13.0,15.0,Graded,2022-12-02 20:36:36 -0600,00:00:00,2.0,4.0,7.5,1.5,4.0
431330025,2.0,15.0,Graded,2022-12-02 13:04:27 -0600,00:00:00,7.0,1.0,2.0,0.0,0.0
519550803,0.0,15.0,Graded,2022-12-01 22:53:17 -0600,00:00:00,1.0,1.0,0.0,0.0,0.0
647038181,14.0,15.0,Graded,2022-12-02 19:50:38 -0600,00:00:00,1.0,2.0,9.0,2.0,3.0
846403629,0.5,15.0,Graded,2022-12-02 23:42:37 -0600,00:00:00,4.0,1.0,0.5,0.0,0.0
884195403,6.5,15.0,Graded,2022-12-02 23:49:47 -0600,00:00:00,4.0,1.0,2.5,0.0,4.0
981630158,15.0,15.0,Graded,2022-12-01 10:18:04 -0600,00:00:00,2.0,1.0,9.0,2.0,4.0
425298232,1.5,15.0,Graded,2022-12-02 21:44:44 -0600,00:00:00,2.0,1.0,1.5,0.0,0.0
367453952,2.5,15.0,Graded,2022-12-02 20:34:10 -0600,00:00:00,0.0,1.0,2.5,0.0,0.0
102509560,2.0,15.0,Graded,2022-11-30 20:48:55 -0600,00:00:00,1.0,1.0,0.0,0.0,2.0
616967158,12.5,15.0,Graded,2022-12-01 11:18:33 -0600,00:00:00,2.0,2.0,7.0,1.5,4.0
196389138,10.0,15.0,Graded,2022-12-08 11:37:38 -0600,131:38:38,2.0,1.0,4.0,2.0,4.0
718982500,15.0,15.0,Graded,2022-12-02 16:00:30 -0600,00:00:00,2.0,1.0,9.0,2.0,4.0
426006334,4.0,15.0,Graded,2022-12-02 23:56:40 -0600,00:00:00,2.0,1.0,2.0,0.0,2.0
883116166,2.0,15.0,Graded,2022-12-01 18:22:31 -0600,00:00:00,7.0,1.0,2.0,0.0,0.0
293581171,12.5,15.0,Graded,2022-12-01 22:02:17 -0600,00:00:00,1.0,3.0,6.5,2.0,4.0
844164199,6.0,15.0,Graded,2022-12-02 23:48:32 -0600,00:00:00,4.0,1.0,2.0,0.0,4.0
287568073,4.0,15.0,Graded,2022-12-01 22:19:59 -0600,00:00:00,0.0,2.0,0.0,0.0,4.0
287712537,2.0,15.0,Graded,2022-12-01 17:20:22 -0600,00:00:00,0.0,1.0,2.0,0.0,0.0
139056282,7.0,15.0,Graded,2022-12-02 23:55:51 -0600,00:00:00,1.0,1.0,3.0,0.0,4.0
442821320,2.0,15.0,Graded,2022-12-02 22:37:37 -0600,00:00:00,0.0,1.0,0.0,0.0,2.0
941280573,14.0,15.0,Graded,2022-12-01 20:47:18 -0600,00:00:00,0.0,3.0,9.0,2.0,3.0
250884994,4.0,15.0,Graded,2022-12-02 22:15:38 -0600,00:00:00,3.0,3.0,0.0,0.0,4.0
118397071,4.0,15.0,Graded,2022-12-02 22:29:00 -0600,00:00:00,0.0,1.0,0.0,0.0,4.0
207156324,4.0,15.0,Graded,2022-12-02 22:32:26 -0600,00:00:00,0.0,2.0,0.0,0.0,4.0
188148399,5.5,15.0,Graded,2022-12-02 13:17:32 -0600,00:00:00,0.0,1.0,1.5,0.0,4.0
897003650,2.0,15.0,Graded,2022-12-02 20:54:29 -0600,00:00:00,4.0,2.0,0.0,0.0,2.0
857674188,0.0,15.0,Graded,2022-12-02 20:45:39 -0600,00:00:00,0.0,1.0,0.0,0.0,0.0
706103987,2.0,15.0,Graded,2022-12-08 10:40:08 -0600,130:41:08,1.0,1.0,0.0,0.0,2.0
307090791,8.5,15.0,Graded,2022-12-02 22:12:29 -0600,00:00:00,2.0,1.0,4.5,0.0,4.0
540669649,9.0,15.0,Graded,2022-12-02 17:07:55 -0600,00:00:00,1.0,2.0,9.0,0.0,0.0
706684758,2.5,15.0,Graded,2022-12-03 00:00:14 -0600,00:01:14,1.0,4.0,2.5,0.0,0.0
831110918,3.0,15.0,Graded,2022-12-02 23:20:22 -0600,00:00:00,1.0,1.0,0.0,0.0,3.0
499452888,11.0,15.0,Graded,2022-12-01 20:08:36 -0600,00:00:00,0.0,1.0,9.0,2.0,0.0
800103092,7.0,15.0,Graded,2022-11-29 11:16:26 -0600,00:00:00,6.0,1.0,7.0,0.0,0.0
226714695,3.0,15.0,Graded,2022-12-02 23:54:20 -0600,00:00:00,0.0,1.0,1.0,0.0,2.0
382807776,3.5,15.0,Graded,2022-12-02 17:11:07 -0600,00:00:00,0.0,1.0,3.5,0.0,0.0
158082447,0.0,15.0,Graded,2022-12-01 15:59:50 -0600,00:00:00,1.0,1.0,0.0,0.0,0.0
714416096,6.0,15.0,Graded,2022-12-02 23:54:41 -0600,00:00:00,3.0,1.0,2.0,0.0,4.0
599867770,5.0,15.0,Graded,2022-12-02 17:46:02 -0600,00:00:00,1.0,2.0,2.0,0.0,3.0
583945776,1.0,15.0,Graded,2022-11-30 09:31:00 -0600,00:00:00,4.0,1.0,0.0,0.0,1.0
828110959,2.0,15.0,Graded,2022-12-02 19:34:18 -0600,00:00:00,4.0,1.0,2.0,0.0,0.0
580872504,4.5,15.0,Graded,2022-12-02 20:15:17 -0600,00:00:00,1.0,1.0,4.5,0.0,0.0
340015460,1.5,15.0,Graded,2022-12-02 14:50:28 -0600,00:00:00,0.0,1.0,0.0,1.5,0.0
287997147,1.0,15.0,Graded,2022-12-02 23:57:42 -0600,00:00:00,1.0,1.0,0.0,0.0,1.0
934612942,4.0,15.0,Graded,2022-12-02 13:37:31 -0600,00:00:00,3.0,2.0,0.0,0.0,4.0
606523192,12.0,15.0,Graded,2022-12-02 07:54:25 -0600,00:00:00,1.0,2.0,8.5,1.5,2.0
287532404,9.0,15.0,Graded,2022-12-02 23:16:50 -0600,00:00:00,3.0,1.0,3.5,1.5,4.0
251388393,4.0,15.0,Graded,2022-11-30 16:50:07 -0600,00:00:00,1.0,2.0,0.0,0.0,4.0
827611327,2.0,15.0,Graded,2022-11-30 17:52:18 -0600,00:00:00,0.0,1.0,2.0,0.0,0.0
981101538,4.0,15.0,Graded,2022-12-02 23:30:09 -0600,00:00:00,1.0,2.0,4.0,0.0,0.0
200028206,4.0,15.0,Graded,2022-12-02 17:11:15 -0600,00:00:00,7.0,1.0,0.0,0.0,4.0
320001219,15.0,15.0,Graded,2022-12-02 22:41:48 -0600,00:00:00,14.0,1.0,9.0,2.0,4.0
543773582,12.5,15.0,Graded,2022-12-02 23:54:56 -0600,00:00:00,1.0,1.0,7.5,1.0,4.0
582804068,4.0,15.0,Graded,2022-12-02 23:59:00 -0600,00:00:00,0.0,1.0,0.0,0.0,4.0
799911481,0.0,15.0,Graded,2022-12-02 22:18:36 -0600,00:00:00,0.0,1.0,0.0,0.0,0.0
827903731,7.0,15.0,Graded,2022-12-01 02:34:03 -0600,00:00:00,3.0,1.0,5.0,2.0,0.0
766195530,4.0,15.0,Graded,2022-12-02 16:05:18 -0600,00:00:00,1.0,1.0,0.0,0.0,4.0
228504431,2.0,15.0,Graded,2022-12-02 23:51:37 -0600,00:00:00,1.0,1.0,0.0,0.0,2.0
874987678,6.0,15.0,Graded,2022-11-30 22:11:49 -0600,00:00:00,2.0,1.0,2.0,0.0,4.0
344244488,0.0,15.0,Graded,2022-12-02 21:24:10 -0600,00:00:00,2.0,1.0,0.0,0.0,0.0
469327354,2.0,15.0,Graded,2022-12-03 00:01:59 -0600,00:02:59,0.0,2.0,0.0,0.0,2.0
347004012,9.5,15.0,Graded,2022-11-27 19:13:38 -0600,00:00:00,6.0,1.0,8.5,1.0,0.0
703728651,3.5,15.0,Graded,2022-12-02 22:51:48 -0600,00:00:00,0.0,1.0,3.5,0.0,0.0
951481595,14.5,15.0,Graded,2022-12-02 14:07:35 -0600,00:00:00,3.0,2.0,9.0,1.5,4.0
512795474,2.0,15.0,Graded,2022-12-02 23:40:45 -0600,00:00:00,1.0,1.0,2.0,0.0,0.0
855495962,6.5,15.0,Graded,2022-12-02 23:33:45 -0600,00:00:00,3.0,1.0,2.5,0.0,4.0
413697324,3.5,15.0,Graded,2022-12-02 15:53:41 -0600,00:00:00,4.0,1.0,0.0,0.5,3.0
737209238,14.0,15.0,Graded,2022-12-02 19:12:16 -0600,00:00:00,1.0,1.0,9.0,2.0,3.0
409608341,0.0,15.0,Graded,2022-12-02 23:22:26 -0600,00:00:00,2.0,1.0,0.0,0.0,0.0
528283788,0.0,15.0,Graded,2022-12-01 04:39:45 -0600,00:00:00,1.0,2.0,0.0,0.0,0.0
739219874,4.0,15.0,Graded,2022-12-02 23:53:33 -0600,00:00:00,0.0,1.0,0.0,0.0,4.0
269388788,15.0,15.0,Graded,2022-12-02 21:45:02 -0600,00:00:00,0.0,1.0,9.0,2.0,4.0
145881787,9.0,15.0,Graded,2022-12-02 17:49:40 -0600,00:00:00,3.0,1.0,9.0,0.0,0.0
486223826,2.5,15.0,Graded,2022-11-28 12:20:13 -0600,00:00:00,8.0,1.0,2.5,0.0,0.0
