randNumCol,Total Score,Max Points,Status,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: Q1 (20.0 pts),2.1: 1 (15.0 pts),2.2: 2 (20.0 pts),3.1: 1 (10.0 pts),3.2: 2 (10.0 pts),3.3: 3 (10.0 pts),4.1 (35.0 pts),5: Q5 (30.0 pts)
801925577,134.0,150.0,Graded,2022-10-06 12:23:56 -0500,00:00:00,5.0,1.0,16.0,15.0,15.0,10.0,10.0,4.0,34.0,30.0
262507520,114.0,150.0,Graded,2022-10-06 12:24:21 -0500,00:00:00,12.0,1.0,8.0,15.0,4.0,10.0,10.0,6.0,35.0,26.0
853470508,143.0,150.0,Graded,2022-10-06 12:22:10 -0500,00:00:00,12.0,1.0,16.0,15.0,20.0,10.0,10.0,10.0,32.0,30.0
468287725,136.0,150.0,Graded,2022-10-06 13:36:48 -0500,01:11:48,5.0,1.0,18.0,15.0,20.0,10.0,10.0,6.0,34.0,23.0
966245481,134.0,150.0,Graded,2022-10-06 12:23:27 -0500,00:00:00,3.0,1.0,18.0,15.0,10.0,10.0,6.0,10.0,35.0,30.0
688844688,142.0,150.0,Graded,2022-10-06 12:24:45 -0500,00:00:00,4.0,1.0,18.0,15.0,19.0,9.0,9.0,8.0,35.0,29.0
602558521,133.5,150.0,Graded,2022-10-06 14:41:16 -0500,02:16:16,7.0,1.0,14.0,15.0,20.0,10.0,10.0,8.0,26.5,30.0
728776101,144.0,150.0,Graded,2022-10-06 13:32:00 -0500,01:07:00,14.0,1.0,18.0,15.0,20.0,10.0,10.0,10.0,35.0,26.0
513252691,137.5,150.0,Graded,2022-10-06 12:19:39 -0500,00:00:00,7.0,1.0,18.0,15.0,20.0,10.0,10.0,10.0,28.5,26.0
798694774,138.5,150.0,Graded,2022-10-06 12:11:51 -0500,00:00:00,12.0,1.0,18.0,15.0,20.0,10.0,10.0,4.0,31.5,30.0
880377892,125.5,150.0,Graded,2022-10-06 12:19:45 -0500,00:00:00,3.0,1.0,14.0,15.0,20.0,9.0,9.0,6.0,26.5,26.0
140393680,79.0,150.0,Graded,2022-10-06 12:19:21 -0500,00:00:00,2.0,1.0,14.0,15.0,15.0,10.0,0.0,0.0,0.0,25.0
406982131,147.0,150.0,Graded,2022-10-06 12:22:55 -0500,00:00:00,3.0,3.0,20.0,15.0,20.0,10.0,10.0,10.0,32.0,30.0
631918976,121.5,150.0,Graded,2022-10-06 14:35:06 -0500,02:10:06,6.0,1.0,18.0,15.0,15.0,10.0,10.0,8.0,26.5,19.0
555782827,129.0,150.0,Graded,2022-10-06 12:24:07 -0500,00:00:00,4.0,1.0,16.0,15.0,20.0,9.0,8.0,10.0,25.0,26.0
556717963,146.0,150.0,Graded,2022-10-06 12:21:19 -0500,00:00:00,2.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,31.0,30.0
213555276,81.5,150.0,Graded,2022-10-06 12:22:44 -0500,00:00:00,0.0,1.0,10.0,12.0,12.0,5.0,7.0,0.0,6.5,29.0
357999413,144.5,150.0,Graded,2022-10-06 12:19:19 -0500,00:00:00,3.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,32.5,27.0
429099317,108.0,150.0,Graded,2022-10-06 12:24:16 -0500,00:00:00,19.0,1.0,10.0,15.0,10.0,9.0,8.0,4.0,31.0,21.0
429099317,68.0,150.0,Graded,2022-10-06 13:34:27 -0500,01:09:27,0.0,2.0,16.0,15.0,14.0,10.0,8.0,2.0,3.0,0.0
429099317,63.5,150.0,Graded,2022-10-06 18:33:55 -0500,06:08:55,3.0,2.0,2.0,15.0,5.0,5.0,6.0,4.0,7.5,19.0
759999244,108.0,150.0,Graded,2022-10-06 12:24:16 -0500,00:00:00,19.0,1.0,10.0,15.0,10.0,9.0,8.0,4.0,31.0,21.0
759999244,68.0,150.0,Graded,2022-10-06 13:34:27 -0500,01:09:27,0.0,2.0,16.0,15.0,14.0,10.0,8.0,2.0,3.0,0.0
759999244,63.5,150.0,Graded,2022-10-06 18:33:55 -0500,06:08:55,3.0,2.0,2.0,15.0,5.0,5.0,6.0,4.0,7.5,19.0
963037118,108.0,150.0,Graded,2022-10-06 12:24:16 -0500,00:00:00,19.0,1.0,10.0,15.0,10.0,9.0,8.0,4.0,31.0,21.0
963037118,68.0,150.0,Graded,2022-10-06 13:34:27 -0500,01:09:27,0.0,2.0,16.0,15.0,14.0,10.0,8.0,2.0,3.0,0.0
963037118,63.5,150.0,Graded,2022-10-06 18:33:55 -0500,06:08:55,3.0,2.0,2.0,15.0,5.0,5.0,6.0,4.0,7.5,19.0
649911435,108.0,150.0,Graded,2022-10-06 12:24:16 -0500,00:00:00,19.0,1.0,10.0,15.0,10.0,9.0,8.0,4.0,31.0,21.0
649911435,68.0,150.0,Graded,2022-10-06 13:34:27 -0500,01:09:27,0.0,2.0,16.0,15.0,14.0,10.0,8.0,2.0,3.0,0.0
649911435,63.5,150.0,Graded,2022-10-06 18:33:55 -0500,06:08:55,3.0,2.0,2.0,15.0,5.0,5.0,6.0,4.0,7.5,19.0
981776346,108.0,150.0,Graded,2022-10-06 12:24:16 -0500,00:00:00,19.0,1.0,10.0,15.0,10.0,9.0,8.0,4.0,31.0,21.0
981776346,68.0,150.0,Graded,2022-10-06 13:34:27 -0500,01:09:27,0.0,2.0,16.0,15.0,14.0,10.0,8.0,2.0,3.0,0.0
981776346,63.5,150.0,Graded,2022-10-06 18:33:55 -0500,06:08:55,3.0,2.0,2.0,15.0,5.0,5.0,6.0,4.0,7.5,19.0
490690273,108.0,150.0,Graded,2022-10-06 12:24:16 -0500,00:00:00,19.0,1.0,10.0,15.0,10.0,9.0,8.0,4.0,31.0,21.0
490690273,68.0,150.0,Graded,2022-10-06 13:34:27 -0500,01:09:27,0.0,2.0,16.0,15.0,14.0,10.0,8.0,2.0,3.0,0.0
490690273,63.5,150.0,Graded,2022-10-06 18:33:55 -0500,06:08:55,3.0,2.0,2.0,15.0,5.0,5.0,6.0,4.0,7.5,19.0
208303123,108.0,150.0,Graded,2022-10-06 12:24:16 -0500,00:00:00,19.0,1.0,10.0,15.0,10.0,9.0,8.0,4.0,31.0,21.0
208303123,68.0,150.0,Graded,2022-10-06 13:34:27 -0500,01:09:27,0.0,2.0,16.0,15.0,14.0,10.0,8.0,2.0,3.0,0.0
208303123,63.5,150.0,Graded,2022-10-06 18:33:55 -0500,06:08:55,3.0,2.0,2.0,15.0,5.0,5.0,6.0,4.0,7.5,19.0
215542326,141.0,150.0,Graded,2022-10-06 12:24:22 -0500,00:00:00,17.0,1.0,18.0,15.0,20.0,10.0,10.0,8.0,31.0,29.0
683714891,113.0,150.0,Graded,2022-10-06 12:19:31 -0500,00:00:00,4.0,1.0,8.0,12.0,14.0,10.0,10.0,10.0,20.0,29.0
450938085,122.0,150.0,Graded,2022-10-06 12:20:53 -0500,00:00:00,1.0,1.0,18.0,15.0,20.0,10.0,10.0,6.0,16.0,27.0
791013869,141.5,150.0,Graded,2022-10-06 12:21:42 -0500,00:00:00,5.0,1.0,14.0,15.0,20.0,10.0,10.0,10.0,33.5,29.0
431330025,122.0,150.0,Graded,2022-10-06 12:25:57 -0500,00:00:57,3.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,22.0,15.0
538294395,142.5,150.0,Graded,2022-10-06 12:21:22 -0500,00:00:00,3.0,1.0,20.0,15.0,20.0,10.0,10.0,8.0,34.5,25.0
144202762,82.0,150.0,Graded,2022-10-06 13:01:39 -0500,00:36:39,6.0,1.0,16.0,15.0,12.0,5.0,6.0,4.0,0.0,24.0
513504661,91.0,150.0,Graded,2022-10-06 13:40:05 -0500,01:15:05,2.0,2.0,6.0,15.0,12.0,10.0,8.0,10.0,10.0,20.0
519550803,138.0,150.0,Graded,2022-10-06 14:02:40 -0500,01:37:40,3.0,1.0,16.0,15.0,20.0,10.0,10.0,10.0,30.0,27.0
482212493,123.5,150.0,Graded,2022-10-06 12:28:20 -0500,00:03:20,4.0,1.0,10.0,15.0,19.0,10.0,10.0,8.0,26.5,25.0
647038181,145.5,150.0,Graded,2022-10-06 12:18:04 -0500,00:00:00,5.0,1.0,20.0,15.0,20.0,10.0,10.0,8.0,32.5,30.0
846403629,145.0,150.0,Graded,2022-10-06 12:23:58 -0500,00:00:00,1.0,1.0,18.0,15.0,20.0,10.0,10.0,10.0,33.0,29.0
586062294,142.0,150.0,Graded,2022-10-06 12:19:51 -0500,00:00:00,2.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,32.0,25.0
884195403,123.0,150.0,Graded,2022-10-06 13:25:42 -0500,01:00:42,2.0,1.0,12.0,15.0,15.0,10.0,10.0,6.0,25.0,30.0
996805395,133.0,150.0,Graded,2022-10-06 12:18:43 -0500,00:00:00,5.0,1.0,18.0,15.0,15.0,10.0,8.0,10.0,31.0,26.0
981630158,132.0,150.0,Graded,2022-10-06 12:09:40 -0500,00:00:00,4.0,1.0,18.0,15.0,20.0,10.0,10.0,4.0,25.0,30.0
868686594,139.5,150.0,Graded,2022-10-06 12:23:23 -0500,00:00:00,4.0,1.0,20.0,15.0,20.0,10.0,10.0,6.0,34.5,24.0
891283532,126.5,150.0,Graded,2022-10-06 12:25:37 -0500,00:00:37,2.0,2.0,16.0,15.0,15.0,10.0,10.0,10.0,24.5,26.0
757443096,89.0,150.0,Graded,2022-10-06 13:27:05 -0500,01:02:05,5.0,2.0,8.0,15.0,10.0,10.0,10.0,0.0,31.0,5.0
915625252,117.5,150.0,Graded,2022-10-06 12:18:56 -0500,00:00:00,6.0,1.0,12.0,15.0,15.0,10.0,10.0,10.0,23.5,22.0
887196036,56.0,150.0,Graded,2022-10-06 12:22:13 -0500,00:00:00,1.0,1.0,10.0,15.0,2.0,10.0,5.0,6.0,8.0,0.0
853643793,123.0,150.0,Graded,2022-10-06 12:17:33 -0500,00:00:00,7.0,1.0,8.0,15.0,19.0,9.0,8.0,10.0,30.0,24.0
367453952,135.0,150.0,Graded,2022-10-06 12:26:40 -0500,00:01:40,6.0,1.0,18.0,15.0,20.0,10.0,10.0,10.0,31.0,21.0
581792455,135.5,150.0,Graded,2022-10-06 14:32:41 -0500,02:07:41,3.0,1.0,18.0,15.0,20.0,10.0,10.0,10.0,23.5,29.0
102509560,140.0,150.0,Graded,2022-10-06 12:20:41 -0500,00:00:00,6.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,25.0,30.0
604704694,101.0,150.0,Graded,2022-10-06 12:26:57 -0500,00:01:57,1.0,1.0,10.0,15.0,10.0,10.0,10.0,8.0,14.0,24.0
860075746,130.0,150.0,Graded,2022-10-06 12:20:22 -0500,00:00:00,4.0,1.0,14.0,15.0,20.0,5.0,10.0,10.0,27.0,29.0
351876097,115.0,150.0,Graded,2022-10-06 12:22:47 -0500,00:00:00,1.0,1.0,18.0,15.0,20.0,10.0,0.0,0.0,25.0,27.0
196938750,148.0,150.0,Graded,2022-10-06 12:29:11 -0500,00:04:11,3.0,1.0,18.0,15.0,20.0,10.0,10.0,10.0,35.0,30.0
208887130,106.0,150.0,Graded,2022-10-06 13:22:38 -0500,00:57:38,3.0,1.0,14.0,15.0,19.0,5.0,7.0,4.0,26.0,16.0
304646933,94.0,150.0,Graded,2022-10-06 14:43:33 -0500,02:18:33,1.0,1.0,14.0,15.0,15.0,10.0,10.0,10.0,7.0,13.0
718604469,139.0,150.0,Graded,2022-10-06 14:45:09 -0500,02:20:09,7.0,1.0,18.0,15.0,20.0,10.0,10.0,6.0,31.0,29.0
722247081,115.5,150.0,Graded,2022-10-06 12:18:19 -0500,00:00:00,6.0,1.0,12.0,14.0,18.0,10.0,10.0,4.0,21.5,26.0
817205605,142.5,150.0,Graded,2022-10-06 12:20:53 -0500,00:00:00,2.0,1.0,18.0,15.0,20.0,10.0,10.0,8.0,31.5,30.0
611518158,133.5,150.0,Graded,2022-10-06 12:27:16 -0500,00:02:16,8.0,1.0,18.0,15.0,20.0,10.0,10.0,10.0,20.5,30.0
177697048,118.5,150.0,Graded,2022-10-06 12:18:29 -0500,00:00:00,3.0,1.0,12.0,15.0,20.0,10.0,10.0,9.0,18.5,24.0
616967158,137.5,150.0,Graded,2022-10-06 12:25:28 -0500,00:00:28,4.0,2.0,18.0,15.0,15.0,10.0,10.0,10.0,30.5,29.0
315653647,109.5,150.0,Graded,2022-10-06 12:22:11 -0500,00:00:00,1.0,1.0,10.0,15.0,10.0,10.0,10.0,10.0,20.5,24.0
358296522,115.0,150.0,Graded,2022-10-06 12:24:24 -0500,00:00:00,2.0,1.0,12.0,15.0,20.0,10.0,10.0,10.0,19.0,19.0
677646110,150.0,150.0,Graded,2022-10-06 12:18:15 -0500,00:00:00,2.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,35.0,30.0
739727903,134.5,150.0,Graded,2022-10-06 13:20:21 -0500,00:55:21,4.0,1.0,12.0,15.0,20.0,10.0,10.0,10.0,30.5,27.0
239830252,118.5,150.0,Graded,2022-10-06 13:33:25 -0500,01:08:25,0.0,1.0,16.0,15.0,10.0,10.0,10.0,10.0,27.5,20.0
236845553,143.5,150.0,Graded,2022-10-06 18:19:59 -0500,05:54:59,10.0,1.0,14.0,15.0,20.0,10.0,10.0,10.0,34.5,30.0
819905544,90.5,150.0,Graded,2022-10-06 12:21:52 -0500,00:00:00,1.0,1.0,8.0,14.0,10.0,10.0,10.0,4.0,9.5,25.0
718982500,146.5,150.0,Graded,2022-10-06 12:25:57 -0500,00:00:57,1.0,1.0,18.0,15.0,20.0,10.0,10.0,10.0,34.5,29.0
393009742,125.5,150.0,Graded,2022-10-06 12:23:18 -0500,00:00:00,4.0,1.0,14.0,15.0,20.0,10.0,10.0,4.0,26.5,26.0
695607399,126.5,150.0,Graded,2022-10-06 13:04:46 -0500,00:39:46,4.0,1.0,8.0,15.0,20.0,9.0,9.0,10.0,31.5,24.0
426006334,124.5,150.0,Graded,2022-10-06 12:23:13 -0500,00:00:00,9.0,1.0,10.0,15.0,19.0,9.0,9.0,8.0,32.5,22.0
815373712,134.0,150.0,Graded,2022-10-06 12:16:52 -0500,00:00:00,1.0,1.0,18.0,15.0,15.0,10.0,10.0,8.0,32.0,26.0
757899821,125.0,150.0,Graded,2022-10-06 13:34:18 -0500,01:09:18,1.0,1.0,16.0,15.0,19.0,10.0,10.0,8.0,24.0,23.0
321265210,134.0,150.0,Graded,2022-10-06 12:25:43 -0500,00:00:43,2.0,1.0,10.0,15.0,20.0,10.0,10.0,10.0,31.0,28.0
362394432,126.5,150.0,Graded,2022-10-06 12:23:36 -0500,00:00:00,3.0,1.0,14.0,15.0,18.0,10.0,10.0,10.0,25.5,24.0
883116166,100.0,150.0,Graded,2022-10-06 12:21:56 -0500,00:00:00,3.0,1.0,10.0,15.0,7.0,10.0,5.0,2.0,27.0,24.0
293581171,143.0,150.0,Graded,2022-10-06 12:15:29 -0500,00:00:00,3.0,1.0,20.0,15.0,18.0,10.0,10.0,10.0,30.0,30.0
381118522,111.0,150.0,Graded,2022-10-06 12:22:28 -0500,00:00:00,2.0,1.0,4.0,15.0,5.0,10.0,10.0,9.0,31.0,27.0
317104199,98.5,150.0,Graded,2022-10-06 12:21:24 -0500,00:00:00,3.0,1.0,10.0,15.0,18.0,10.0,6.0,2.0,11.5,26.0
466291288,125.0,150.0,Graded,2022-10-06 12:19:44 -0500,00:00:00,8.0,1.0,14.0,15.0,15.0,10.0,10.0,6.0,28.0,27.0
844164199,128.5,150.0,Graded,2022-10-06 12:24:50 -0500,00:00:00,6.0,1.0,14.0,15.0,20.0,10.0,10.0,6.0,23.5,30.0
578891403,52.0,150.0,Graded,2022-10-06 13:32:50 -0500,01:07:50,3.0,2.0,8.0,15.0,0.0,10.0,0.0,0.0,19.0,0.0
558375823,135.0,150.0,Graded,2022-10-06 12:13:55 -0500,00:00:00,7.0,1.0,18.0,15.0,20.0,10.0,10.0,8.0,28.0,26.0
287568073,147.0,150.0,Graded,2022-10-06 12:24:42 -0500,00:00:00,2.0,1.0,18.0,15.0,20.0,10.0,10.0,10.0,34.0,30.0
709735325,38.0,150.0,Graded,2022-10-06 12:18:45 -0500,00:00:00,2.0,1.0,10.0,15.0,0.0,5.0,8.0,0.0,0.0,0.0
287712537,106.0,150.0,Graded,2022-10-06 12:21:15 -0500,00:00:00,3.0,1.0,12.0,15.0,13.0,10.0,10.0,10.0,13.0,23.0
496648192,150.0,150.0,Graded,2022-10-06 12:26:15 -0500,00:01:15,4.0,2.0,20.0,15.0,20.0,10.0,10.0,10.0,35.0,30.0
139056282,99.0,150.0,Graded,2022-10-06 14:30:28 -0500,02:05:28,0.0,1.0,8.0,14.0,15.0,10.0,10.0,8.0,5.0,29.0
968248176,125.0,150.0,Graded,2022-10-06 12:51:03 -0500,00:26:03,2.0,1.0,18.0,15.0,20.0,10.0,5.0,8.0,22.0,27.0
744337479,149.5,150.0,Graded,2022-10-06 12:25:15 -0500,00:00:15,2.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,34.5,30.0
105324844,114.0,150.0,Graded,2022-10-06 12:17:44 -0500,00:00:00,1.0,1.0,12.0,15.0,15.0,10.0,10.0,6.0,19.0,27.0
484405746,97.5,150.0,Graded,2022-10-06 14:41:56 -0500,02:16:56,6.0,1.0,8.0,15.0,15.0,10.0,10.0,0.0,14.5,25.0
943661848,127.5,150.0,Graded,2022-10-06 12:20:38 -0500,00:00:00,2.0,1.0,18.0,15.0,20.0,10.0,10.0,8.0,20.5,26.0
359759230,126.5,150.0,Graded,2022-10-06 13:51:47 -0500,01:26:47,2.0,1.0,18.0,15.0,20.0,10.0,10.0,6.0,20.5,27.0
442821320,102.0,150.0,Graded,2022-10-06 12:24:08 -0500,00:00:00,7.0,1.0,10.0,15.0,15.0,10.0,10.0,10.0,11.0,21.0
963746914,105.0,150.0,Graded,2022-10-06 13:47:57 -0500,01:22:57,5.0,2.0,6.0,15.0,5.0,10.0,10.0,10.0,27.0,22.0
