randNumCol,Total Score,Max Points,Status,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: Q1 (20.0 pts),2.1: 1 (15.0 pts),2.2: 2 (20.0 pts),3.1: 1 (10.0 pts),3.2: 2 (10.0 pts),3.3: 3 (10.0 pts),4.1 (35.0 pts),5: Q5 (30.0 pts)
987928730,121.5,150.0,Graded,2022-10-06 12:22:55 -0500,00:00:00,1.0,1.0,18.0,15.0,15.0,9.0,9.0,10.0,16.5,29.0
200028206,81.5,150.0,Graded,2022-10-06 12:29:01 -0500,00:04:01,5.0,2.0,16.0,10.0,11.0,10.0,10.0,2.0,22.5,0.0
367317839,150.0,150.0,Graded,2022-10-06 12:17:16 -0500,00:00:00,1.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,35.0,30.0
724100099,73.5,150.0,Graded,2022-10-06 12:24:06 -0500,00:00:00,1.0,1.0,6.0,14.0,2.0,10.0,8.0,10.0,1.5,22.0
155851248,109.0,150.0,Graded,2022-10-06 12:23:48 -0500,00:00:00,1.0,1.0,14.0,15.0,15.0,10.0,10.0,8.0,18.0,19.0
320001219,121.0,150.0,Graded,2022-10-06 12:17:57 -0500,00:00:00,7.0,1.0,12.0,15.0,20.0,5.0,10.0,4.0,28.0,27.0
806095004,112.0,150.0,Graded,2022-10-06 12:25:39 -0500,00:00:39,0.0,1.0,14.0,15.0,15.0,10.0,10.0,0.0,19.0,29.0
794981163,136.5,150.0,Graded,2022-10-06 12:18:48 -0500,00:00:00,2.0,1.0,18.0,15.0,20.0,10.0,10.0,6.0,31.5,26.0
912932855,143.0,150.0,Graded,2022-10-06 12:22:32 -0500,00:00:00,1.0,1.0,20.0,15.0,14.0,10.0,10.0,10.0,35.0,29.0
500762519,131.5,150.0,Graded,2022-10-06 13:03:38 -0500,00:38:38,4.0,1.0,16.0,15.0,20.0,10.0,10.0,8.0,22.5,30.0
973763888,136.5,150.0,Graded,2022-10-06 12:21:57 -0500,00:00:00,2.0,1.0,18.0,15.0,20.0,10.0,10.0,10.0,29.5,24.0
170991668,149.5,150.0,Graded,2022-10-06 12:26:47 -0500,00:01:47,0.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,34.5,30.0
259154711,128.0,150.0,Graded,2022-10-06 14:44:30 -0500,02:19:30,1.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,28.0,15.0
853027552,140.0,150.0,Graded,2022-10-06 12:22:33 -0500,00:00:00,5.0,1.0,14.0,15.0,20.0,10.0,10.0,10.0,32.0,29.0
113289517,128.0,150.0,Graded,2022-10-06 12:27:47 -0500,00:02:47,1.0,1.0,20.0,15.0,15.0,10.0,10.0,10.0,29.0,19.0
823906653,147.0,150.0,Graded,2022-10-06 12:14:42 -0500,00:00:00,1.0,1.0,20.0,15.0,20.0,9.0,9.0,9.0,35.0,30.0
543773582,137.0,150.0,Graded,2022-10-06 12:23:19 -0500,00:00:00,5.0,2.0,20.0,15.0,15.0,10.0,10.0,10.0,32.0,25.0
624396569,143.0,150.0,Graded,2022-10-06 12:22:21 -0500,00:00:00,2.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,28.0,30.0
498220528,142.0,150.0,Graded,2022-10-06 12:05:34 -0500,00:00:00,2.0,1.0,20.0,15.0,15.0,10.0,10.0,10.0,35.0,27.0
507273770,128.0,150.0,Graded,2022-10-06 12:24:11 -0500,00:00:00,4.0,1.0,16.0,15.0,20.0,9.0,9.0,8.0,26.0,25.0
582804068,98.0,150.0,Graded,2022-10-06 12:23:43 -0500,00:00:00,5.0,1.0,16.0,14.0,20.0,10.0,10.0,2.0,7.0,19.0
241288793,52.0,150.0,Graded,2022-10-06 12:23:24 -0500,00:00:00,1.0,1.0,4.0,0.0,10.0,10.0,10.0,6.0,0.0,12.0
977027424,126.0,150.0,Graded,2022-10-06 12:21:58 -0500,00:00:00,3.0,1.0,16.0,15.0,18.0,10.0,10.0,8.0,25.0,24.0
799911481,86.5,150.0,Graded,2022-10-06 12:20:59 -0500,00:00:00,3.0,1.0,8.0,15.0,12.0,10.0,5.0,2.0,11.5,23.0
820492858,84.5,150.0,Graded,2022-10-06 12:22:15 -0500,00:00:00,4.0,3.0,10.0,15.0,0.0,10.0,10.0,6.0,24.5,9.0
567174326,127.0,150.0,Graded,2022-10-06 12:20:11 -0500,00:00:00,4.0,1.0,14.0,15.0,20.0,10.0,10.0,6.0,22.0,30.0
827903731,135.0,150.0,Graded,2022-10-06 12:19:31 -0500,00:00:00,4.0,1.0,20.0,12.0,15.0,10.0,10.0,6.0,32.0,30.0
766195530,124.0,150.0,Graded,2022-10-06 12:20:06 -0500,00:00:00,2.0,1.0,14.0,12.0,15.0,10.0,10.0,9.0,28.0,26.0
760982848,135.5,150.0,Graded,2022-10-06 13:42:58 -0500,01:17:58,0.0,1.0,16.0,15.0,20.0,10.0,10.0,10.0,32.5,22.0
175804971,138.0,150.0,Graded,2022-10-06 13:56:06 -0500,01:31:06,1.0,1.0,16.0,15.0,20.0,10.0,10.0,10.0,27.0,30.0
450838843,116.5,150.0,Graded,2022-10-06 12:23:08 -0500,00:00:00,4.0,1.0,20.0,15.0,20.0,5.0,8.0,4.0,14.5,30.0
228504431,109.0,150.0,Graded,2022-10-06 13:53:06 -0500,01:28:06,5.0,1.0,6.0,15.0,5.0,10.0,10.0,10.0,28.0,25.0
172025158,113.5,150.0,Graded,2022-10-06 12:20:06 -0500,00:00:00,8.0,1.0,10.0,15.0,10.0,10.0,8.0,4.0,32.5,24.0
617072763,109.5,150.0,Graded,2022-10-06 12:28:39 -0500,00:03:39,0.0,1.0,14.0,15.0,7.0,10.0,10.0,10.0,18.5,25.0
205298298,129.0,150.0,Graded,2022-10-06 12:22:50 -0500,00:00:00,2.0,1.0,12.0,14.0,15.0,10.0,10.0,8.0,30.0,30.0
271322090,147.0,150.0,Graded,2022-10-06 13:48:01 -0500,01:23:01,3.0,1.0,20.0,15.0,20.0,10.0,10.0,8.0,34.0,30.0
874987678,141.0,150.0,Graded,2022-10-06 13:50:48 -0500,01:25:48,2.0,1.0,16.0,15.0,20.0,10.0,10.0,10.0,30.0,30.0
344244488,129.0,150.0,Graded,2022-10-06 13:35:39 -0500,01:10:39,4.0,1.0,16.0,15.0,20.0,10.0,10.0,10.0,22.0,26.0
596322861,146.0,150.0,Graded,2022-10-06 13:59:20 -0500,01:34:20,6.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,31.0,30.0
844072779,134.0,150.0,Graded,2022-10-06 12:21:26 -0500,00:00:00,5.0,1.0,20.0,15.0,20.0,10.0,10.0,2.0,28.0,29.0
789354791,116.5,150.0,Graded,2022-10-06 12:22:43 -0500,00:00:00,4.0,1.0,14.0,15.0,9.0,10.0,10.0,6.0,26.5,26.0
712401694,135.0,150.0,Graded,2022-10-06 12:29:28 -0500,00:04:28,6.0,1.0,18.0,15.0,20.0,10.0,10.0,10.0,31.0,21.0
469327354,139.0,150.0,Graded,2022-10-06 12:17:02 -0500,00:00:00,3.0,1.0,16.0,15.0,20.0,10.0,10.0,8.0,30.0,30.0
224722605,72.0,150.0,Graded,2022-10-06 12:21:07 -0500,00:00:00,0.0,1.0,12.0,15.0,19.0,10.0,8.0,8.0,0.0,0.0
975894419,139.5,150.0,Graded,2022-10-06 12:19:30 -0500,00:00:00,2.0,1.0,18.0,15.0,20.0,10.0,10.0,8.0,31.5,27.0
347004012,148.0,150.0,Graded,2022-10-06 12:22:38 -0500,00:00:00,6.0,1.0,18.0,15.0,20.0,10.0,10.0,10.0,35.0,30.0
202503529,120.5,150.0,Graded,2022-10-06 12:23:33 -0500,00:00:00,4.0,1.0,20.0,15.0,10.0,10.0,10.0,10.0,19.5,26.0
109676668,116.5,150.0,Graded,2022-10-06 12:20:02 -0500,00:00:00,2.0,1.0,8.0,15.0,15.0,10.0,10.0,8.0,26.5,24.0
612288045,145.0,150.0,Graded,2022-10-06 12:23:01 -0500,00:00:00,3.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,30.0,30.0
592063653,108.0,150.0,Graded,2022-10-06 12:20:26 -0500,00:00:00,3.0,1.0,12.0,15.0,20.0,5.0,8.0,8.0,16.0,24.0
703728651,47.0,150.0,Graded,2022-10-06 12:15:56 -0500,00:00:00,5.0,1.0,12.0,15.0,7.0,5.0,6.0,2.0,0.0,0.0
451874760,138.5,150.0,Graded,2022-10-06 13:20:22 -0500,00:55:22,5.0,1.0,20.0,15.0,19.0,10.0,10.0,6.0,28.5,30.0
646355412,144.0,150.0,Graded,2022-10-06 16:05:49 -0500,03:40:49,2.0,1.0,16.0,15.0,18.0,10.0,10.0,10.0,35.0,30.0
230651161,100.0,150.0,Graded,2022-10-06 12:22:23 -0500,00:00:00,4.0,1.0,12.0,15.0,18.0,10.0,10.0,10.0,13.0,12.0
812260068,144.5,150.0,Graded,2022-10-06 12:24:44 -0500,00:00:00,2.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,30.5,29.0
951481595,129.5,150.0,Graded,2022-10-06 12:36:20 -0500,00:11:20,4.0,2.0,12.0,15.0,20.0,10.0,10.0,10.0,26.5,26.0
921076154,122.5,150.0,Graded,2022-10-06 13:19:05 -0500,00:54:05,2.0,1.0,8.0,15.0,20.0,10.0,10.0,10.0,23.5,26.0
449241542,111.0,150.0,Graded,2022-10-06 12:25:24 -0500,00:00:24,2.0,1.0,8.0,15.0,12.0,10.0,10.0,4.0,25.0,27.0
613579952,136.0,150.0,Graded,2022-10-06 12:20:11 -0500,00:00:00,3.0,1.0,12.0,15.0,20.0,10.0,10.0,6.0,34.0,29.0
795533292,108.0,150.0,Graded,2022-10-06 13:29:27 -0500,01:04:27,7.0,1.0,10.0,15.0,13.0,10.0,10.0,4.0,23.0,23.0
961061035,111.5,150.0,Graded,2022-10-06 12:23:00 -0500,00:00:00,4.0,1.0,12.0,15.0,15.0,10.0,8.0,8.0,17.5,26.0
524269695,113.5,150.0,Graded,2022-10-06 13:44:02 -0500,01:19:02,3.0,1.0,18.0,15.0,20.0,10.0,10.0,8.0,17.5,15.0
233084695,79.0,150.0,Graded,2022-10-06 12:17:07 -0500,00:00:00,1.0,1.0,14.0,14.0,5.0,10.0,10.0,6.0,0.0,20.0
927131401,142.5,150.0,Graded,2022-10-06 12:22:50 -0500,00:00:00,2.0,2.0,16.0,15.0,20.0,10.0,10.0,8.0,34.5,29.0
512795474,146.0,150.0,Graded,2022-10-06 12:20:12 -0500,00:00:00,4.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,32.0,29.0
331964985,84.0,150.0,Graded,2022-10-06 12:23:37 -0500,00:00:00,5.0,1.0,10.0,15.0,12.0,10.0,10.0,8.0,0.0,19.0
855495962,137.5,150.0,Graded,2022-10-06 14:29:44 -0500,02:04:44,6.0,1.0,18.0,15.0,18.0,10.0,10.0,10.0,29.5,27.0
998650703,90.0,150.0,Graded,2022-10-06 12:22:10 -0500,00:00:00,1.0,1.0,12.0,15.0,15.0,10.0,6.0,0.0,25.0,7.0
856742706,64.0,150.0,Graded,2022-10-06 12:21:28 -0500,00:00:00,3.0,1.0,10.0,15.0,10.0,10.0,6.0,6.0,0.0,7.0
779856123,42.0,150.0,Graded,2022-10-06 12:25:11 -0500,00:00:11,1.0,1.0,4.0,15.0,5.0,10.0,8.0,0.0,0.0,0.0
448105180,41.0,150.0,Graded,2022-10-06 12:25:33 -0500,00:00:33,0.0,1.0,8.0,0.0,10.0,5.0,6.0,6.0,6.0,0.0
152653717,132.5,150.0,Graded,2022-10-06 13:42:15 -0500,01:17:15,5.0,2.0,18.0,15.0,20.0,5.0,6.0,10.0,28.5,30.0
357395409,99.5,150.0,Graded,2022-10-06 12:23:23 -0500,00:00:00,8.0,1.0,12.0,15.0,13.0,10.0,10.0,10.0,5.5,24.0
663677168,80.0,150.0,Graded,2022-10-06 12:21:08 -0500,00:00:00,4.0,1.0,10.0,15.0,5.0,10.0,10.0,8.0,0.0,22.0
612588975,134.0,150.0,Graded,2022-10-06 12:24:16 -0500,00:00:00,1.0,1.0,12.0,14.0,20.0,10.0,10.0,10.0,32.0,26.0
194767716,107.0,150.0,Graded,2022-10-06 12:28:21 -0500,00:03:21,5.0,1.0,16.0,15.0,15.0,10.0,10.0,4.0,16.0,21.0
413697324,137.5,150.0,Graded,2022-10-06 12:24:50 -0500,00:00:00,10.0,2.0,16.0,15.0,20.0,10.0,8.0,8.0,34.5,26.0
295082527,119.0,150.0,Graded,2022-10-06 12:14:33 -0500,00:00:00,2.0,1.0,16.0,12.0,15.0,10.0,10.0,10.0,25.0,21.0
820436799,129.0,150.0,Graded,2022-10-06 14:34:02 -0500,02:09:02,3.0,1.0,18.0,15.0,15.0,10.0,10.0,10.0,22.0,29.0
818032069,120.5,150.0,Graded,2022-10-06 12:25:27 -0500,00:00:27,2.0,1.0,18.0,14.0,17.0,10.0,10.0,10.0,13.5,28.0
140341082,113.0,150.0,Graded,2022-10-06 12:15:17 -0500,00:00:00,3.0,1.0,12.0,15.0,12.0,10.0,10.0,6.0,21.0,27.0
959944273,66.5,150.0,Graded,2022-10-06 13:57:14 -0500,01:32:14,3.0,1.0,12.0,15.0,10.0,9.0,5.0,6.0,9.5,0.0
737209238,139.0,150.0,Graded,2022-10-06 12:22:29 -0500,00:00:00,4.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,27.0,27.0
789619419,125.0,150.0,Graded,2022-10-06 12:28:32 -0500,00:03:32,7.0,1.0,12.0,15.0,20.0,10.0,8.0,8.0,27.0,25.0
409608341,140.0,150.0,Graded,2022-10-06 12:22:25 -0500,00:00:00,4.0,1.0,14.0,15.0,20.0,10.0,10.0,10.0,32.0,29.0
670589436,135.0,150.0,Graded,2022-10-06 12:23:33 -0500,00:00:00,4.0,1.0,12.0,15.0,20.0,10.0,10.0,8.0,33.0,27.0
528283788,129.0,150.0,Graded,2022-10-06 12:24:52 -0500,00:00:00,3.0,1.0,16.0,15.0,15.0,10.0,10.0,10.0,30.0,23.0
387775822,117.0,150.0,Graded,2022-10-06 12:21:49 -0500,00:00:00,2.0,1.0,16.0,15.0,5.0,10.0,10.0,10.0,28.0,23.0
435513629,132.0,150.0,Graded,2022-10-06 13:23:26 -0500,00:58:26,3.0,1.0,16.0,15.0,20.0,10.0,10.0,8.0,28.0,25.0
933263408,127.5,150.0,Graded,2022-10-06 12:19:52 -0500,00:00:00,3.0,1.0,18.0,15.0,18.0,10.0,10.0,6.0,23.5,27.0
334276170,136.5,150.0,Graded,2022-10-06 12:29:01 -0500,00:04:01,1.0,1.0,18.0,15.0,20.0,10.0,10.0,10.0,26.5,27.0
629529492,134.5,150.0,Graded,2022-10-06 12:25:36 -0500,00:00:36,2.0,2.0,18.0,15.0,20.0,10.0,10.0,6.0,26.5,29.0
686563160,132.5,150.0,Graded,2022-10-06 12:23:23 -0500,00:00:00,4.0,1.0,16.0,15.0,20.0,5.0,8.0,7.0,31.5,30.0
739219874,145.0,150.0,Graded,2022-10-06 12:24:23 -0500,00:00:00,1.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,34.0,26.0
394932001,121.5,150.0,Graded,2022-10-06 12:22:20 -0500,00:00:00,4.0,1.0,14.0,15.0,15.0,10.0,10.0,8.0,24.5,25.0
239659876,133.0,150.0,Graded,2022-10-06 12:23:17 -0500,00:00:00,2.0,1.0,16.0,15.0,15.0,10.0,10.0,6.0,31.0,30.0
312992693,137.0,150.0,Graded,2022-10-06 12:24:21 -0500,00:00:00,3.0,1.0,18.0,15.0,20.0,10.0,10.0,10.0,25.0,29.0
269388788,143.0,150.0,Graded,2022-10-06 12:18:34 -0500,00:00:00,3.0,1.0,18.0,15.0,20.0,10.0,8.0,10.0,35.0,27.0
431198619,136.0,150.0,Graded,2022-10-06 12:07:04 -0500,00:00:00,4.0,1.0,18.0,15.0,15.0,10.0,10.0,6.0,33.0,29.0
987271395,125.0,150.0,Graded,2022-10-06 12:23:01 -0500,00:00:00,5.0,1.0,16.0,15.0,10.0,10.0,10.0,10.0,29.0,25.0
484369130,133.0,150.0,Graded,2022-10-06 12:23:46 -0500,00:00:00,3.0,1.0,20.0,15.0,15.0,10.0,10.0,10.0,28.0,25.0
528167595,145.0,150.0,Graded,2022-10-06 12:19:19 -0500,00:00:00,5.0,1.0,18.0,15.0,20.0,10.0,10.0,10.0,35.0,27.0
443524764,131.0,150.0,Graded,2022-10-06 12:26:41 -0500,00:01:41,4.0,1.0,12.0,15.0,18.0,9.0,9.0,10.0,34.0,24.0
173907334,109.0,150.0,Graded,2022-10-06 12:27:51 -0500,00:02:51,7.0,1.0,16.0,12.0,7.0,9.0,7.0,10.0,19.0,29.0
692457537,108.5,150.0,Graded,2022-10-06 13:04:36 -0500,00:39:36,1.0,1.0,12.0,15.0,15.0,9.0,7.0,4.0,24.5,22.0
591072381,140.5,150.0,Graded,2022-10-06 12:15:50 -0500,00:00:00,2.0,1.0,14.0,15.0,20.0,10.0,10.0,10.0,32.5,29.0
776100277,107.0,150.0,Graded,2022-10-06 12:22:20 -0500,00:00:00,6.0,1.0,12.0,15.0,13.0,9.0,6.0,8.0,27.0,17.0
903454596,142.0,150.0,Graded,2022-10-06 12:21:38 -0500,00:00:00,3.0,1.0,20.0,15.0,15.0,10.0,10.0,8.0,34.0,30.0
885343848,134.5,150.0,Graded,2022-10-06 12:15:28 -0500,00:00:00,2.0,1.0,16.0,15.0,19.0,5.0,10.0,10.0,29.5,30.0
145881787,131.0,150.0,Graded,2022-10-06 12:23:14 -0500,00:00:00,7.0,1.0,12.0,15.0,20.0,10.0,10.0,10.0,28.0,26.0
486223826,139.5,150.0,Graded,2022-10-06 12:26:39 -0500,00:01:39,4.0,1.0,20.0,15.0,15.0,10.0,8.0,10.0,31.5,30.0
308884206,129.0,150.0,Graded,2022-10-06 12:11:25 -0500,00:00:00,3.0,1.0,10.0,15.0,20.0,10.0,10.0,8.0,26.0,30.0
605557149,110.5,150.0,Graded,2022-10-06 12:21:01 -0500,00:00:00,6.0,1.0,14.0,15.0,20.0,10.0,10.0,6.0,9.5,26.0
888839383,132.0,150.0,Graded,2022-10-06 12:21:56 -0500,00:00:00,4.0,1.0,16.0,15.0,20.0,10.0,10.0,8.0,28.0,25.0
